funcid,dim,milestone,error
23,10,50,4.225954e+02
23,10,60,4.225771e+02
23,10,70,3.804707e+02
23,10,80,3.398238e+02
23,10,90,3.335298e+02
23,10,100,3.320182e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.474943e+02
23,10,5,4.441083e+02
23,10,10,4.279546e+02
23,10,20,4.234506e+02
23,10,30,4.228102e+02
23,10,40,4.226642e+02
23,10,50,4.225954e+02
23,10,60,4.225771e+02
23,10,70,3.804707e+02
23,10,80,3.398238e+02
23,10,90,3.335298e+02
23,10,100,3.320182e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.474943e+02
23,10,5,4.441083e+02
23,10,10,4.279546e+02
23,10,20,4.234506e+02
23,10,30,4.228102e+02
23,10,40,4.226642e+02
23,10,50,4.225954e+02
23,10,60,4.225771e+02
23,10,70,3.804707e+02
23,10,80,3.398238e+02
23,10,90,3.335298e+02
23,10,100,3.320182e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.474943e+02
23,10,5,4.441083e+02
23,10,10,4.279546e+02
23,10,20,4.234506e+02
23,10,30,4.228102e+02
23,10,40,4.226642e+02
23,10,50,4.225954e+02
23,10,60,4.225771e+02
23,10,70,3.804707e+02
23,10,80,3.398238e+02
23,10,90,3.335298e+02
23,10,100,3.320182e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.474943e+02
23,10,5,4.441083e+02
23,10,10,4.279546e+02
23,10,20,4.234506e+02
23,10,30,4.228102e+02
23,10,40,4.226642e+02
23,10,50,4.225954e+02
23,10,60,4.225771e+02
23,10,70,3.804707e+02
23,10,80,3.398238e+02
23,10,90,3.335298e+02
23,10,100,3.320182e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
23,10,1,4.606548e+02
23,10,2,4.606548e+02
23,10,3,4.452272e+02
23,10,5,4.452272e+02
23,10,10,4.363106e+02
23,10,20,4.234594e+02
23,10,30,4.228972e+02
23,10,40,4.227213e+02
23,10,50,4.226309e+02
23,10,60,4.225931e+02
23,10,70,4.225815e+02
23,10,80,4.029681e+02
23,10,90,3.748792e+02
23,10,100,3.561100e+02
