funcid,dim,milestone,error
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
20,30,1,9.896287e+02
20,30,2,6.972802e+02
20,30,3,6.769795e+02
20,30,5,6.727900e+02
20,30,10,6.658341e+02
20,30,20,6.605728e+02
20,30,30,5.946835e+02
20,30,40,5.867137e+02
20,30,50,5.644970e+02
20,30,60,5.622038e+02
20,30,70,5.599124e+02
20,30,80,4.626732e+02
20,30,90,4.411445e+02
20,30,100,4.088483e+02
