funcid,dim,milestone,error
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.166773e+02
17,10,5,2.104170e+02
17,10,10,2.096711e+02
17,10,20,2.061914e+02
17,10,30,1.853371e+02
17,10,40,1.767812e+02
17,10,50,1.711704e+02
17,10,60,1.701056e+02
17,10,70,1.100736e+02
17,10,80,1.096935e+02
17,10,90,1.095241e+02
17,10,100,9.910103e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.166773e+02
17,10,5,2.104170e+02
17,10,10,2.096711e+02
17,10,20,2.061914e+02
17,10,30,1.853371e+02
17,10,40,1.767812e+02
17,10,50,1.711704e+02
17,10,60,1.701056e+02
17,10,70,1.100736e+02
17,10,80,1.096935e+02
17,10,90,1.095241e+02
17,10,100,9.910103e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.166773e+02
17,10,5,2.104170e+02
17,10,10,2.096711e+02
17,10,20,2.061914e+02
17,10,30,1.853371e+02
17,10,40,1.767812e+02
17,10,50,1.711704e+02
17,10,60,1.701056e+02
17,10,70,1.100736e+02
17,10,80,1.096935e+02
17,10,90,1.095241e+02
17,10,100,9.910103e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.166773e+02
17,10,5,2.104170e+02
17,10,10,2.096711e+02
17,10,20,2.061914e+02
17,10,30,1.853371e+02
17,10,40,1.767812e+02
17,10,50,1.711704e+02
17,10,60,1.701056e+02
17,10,70,1.100736e+02
17,10,80,1.096935e+02
17,10,90,1.095241e+02
17,10,100,9.910103e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.166773e+02
17,10,5,2.104170e+02
17,10,10,2.096711e+02
17,10,20,2.061914e+02
17,10,30,1.853371e+02
17,10,40,1.767812e+02
17,10,50,1.711704e+02
17,10,60,1.701056e+02
17,10,70,1.100736e+02
17,10,80,1.096935e+02
17,10,90,1.095241e+02
17,10,100,9.910103e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
17,10,1,2.220270e+02
17,10,2,2.220270e+02
17,10,3,2.214701e+02
17,10,5,2.035585e+02
17,10,10,1.948315e+02
17,10,20,1.946828e+02
17,10,30,1.913733e+02
17,10,40,1.886184e+02
17,10,50,1.881381e+02
17,10,60,1.796150e+02
17,10,70,1.697951e+02
17,10,80,1.330707e+02
17,10,90,7.147319e+01
17,10,100,5.435986e+01
