funcid,dim,milestone,error
9,10,70,8.345617e+02
9,10,80,6.311543e+02
9,10,90,5.146459e+02
9,10,100,4.432971e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.667326e+03
9,10,5,1.428511e+03
9,10,10,1.247460e+03
9,10,20,1.144617e+03
9,10,30,1.137614e+03
9,10,40,1.137420e+03
9,10,50,1.137291e+03
9,10,60,1.137120e+03
9,10,70,8.345617e+02
9,10,80,6.311543e+02
9,10,90,5.146459e+02
9,10,100,4.432971e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.667326e+03
9,10,5,1.428511e+03
9,10,10,1.247460e+03
9,10,20,1.144617e+03
9,10,30,1.137614e+03
9,10,40,1.137420e+03
9,10,50,1.137291e+03
9,10,60,1.137120e+03
9,10,70,8.345617e+02
9,10,80,6.311543e+02
9,10,90,5.146459e+02
9,10,100,4.432971e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.667326e+03
9,10,5,1.428511e+03
9,10,10,1.247460e+03
9,10,20,1.144617e+03
9,10,30,1.137614e+03
9,10,40,1.137420e+03
9,10,50,1.137291e+03
9,10,60,1.137120e+03
9,10,70,8.345617e+02
9,10,80,6.311543e+02
9,10,90,5.146459e+02
9,10,100,4.432971e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.667326e+03
9,10,5,1.428511e+03
9,10,10,1.247460e+03
9,10,20,1.144617e+03
9,10,30,1.137614e+03
9,10,40,1.137420e+03
9,10,50,1.137291e+03
9,10,60,1.137120e+03
9,10,70,8.345617e+02
9,10,80,6.311543e+02
9,10,90,5.146459e+02
9,10,100,4.432971e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
9,10,1,1.697390e+03
9,10,2,1.697390e+03
9,10,3,1.515439e+03
9,10,5,1.515439e+03
9,10,10,1.321120e+03
9,10,20,1.221711e+03
9,10,30,1.146065e+03
9,10,40,1.138761e+03
9,10,50,1.137704e+03
9,10,60,1.137515e+03
9,10,70,1.137301e+03
9,10,80,1.137161e+03
9,10,90,8.615313e+02
9,10,100,5.294044e+02
