funcid,dim,milestone,error
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,8.535734e+02
11,10,5,3.496067e+02
11,10,10,1.405363e+02
11,10,20,6.749364e+01
11,10,30,5.121616e+01
11,10,40,4.695697e+01
11,10,50,4.588705e+01
11,10,60,4.444742e+01
11,10,70,9.729170e+00
11,10,80,9.492284e+00
11,10,90,9.480748e+00
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,8.535734e+02
11,10,5,3.496067e+02
11,10,10,1.405363e+02
11,10,20,6.749364e+01
11,10,30,5.121616e+01
11,10,40,4.695697e+01
11,10,50,4.588705e+01
11,10,60,4.444742e+01
11,10,70,9.729170e+00
11,10,80,9.492284e+00
11,10,90,9.480748e+00
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,8.535734e+02
11,10,5,3.496067e+02
11,10,10,1.405363e+02
11,10,20,6.749364e+01
11,10,30,5.121616e+01
11,10,40,4.695697e+01
11,10,50,4.588705e+01
11,10,60,4.444742e+01
11,10,70,9.729170e+00
11,10,80,9.492284e+00
11,10,90,9.480748e+00
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,8.535734e+02
11,10,5,3.496067e+02
11,10,10,1.405363e+02
11,10,20,6.749364e+01
11,10,30,5.121616e+01
11,10,40,4.695697e+01
11,10,50,4.588705e+01
11,10,60,4.444742e+01
11,10,70,9.729170e+00
11,10,80,9.492284e+00
11,10,90,9.480748e+00
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,8.535734e+02
11,10,5,3.496067e+02
11,10,10,1.405363e+02
11,10,20,6.749364e+01
11,10,30,5.121616e+01
11,10,40,4.695697e+01
11,10,50,4.588705e+01
11,10,60,4.444742e+01
11,10,70,9.729170e+00
11,10,80,9.492284e+00
11,10,90,9.480748e+00
11,10,100,9.468676e+00
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
11,10,1,1.838676e+03
11,10,2,1.297622e+03
11,10,3,5.147582e+02
11,10,5,5.147582e+02
11,10,10,1.434821e+02
11,10,20,6.293151e+01
11,10,30,4.026645e+01
11,10,40,3.882725e+01
11,10,50,3.861506e+01
11,10,60,3.857612e+01
11,10,70,3.856744e+01
11,10,80,3.856724e+01
11,10,90,2.370757e+01
11,10,100,2.362930e+01
