funcid,dim,milestone,error
4,10,30,1.693599e+00
4,10,40,1.541172e+00
4,10,50,1.439106e+00
4,10,60,1.335068e+00
4,10,70,1.243078e+00
4,10,80,1.148171e+00
4,10,90,1.064794e+00
4,10,100,9.910216e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,4.635010e+01
4,10,5,2.428128e+01
4,10,10,8.357667e+00
4,10,20,2.390786e+00
4,10,30,1.693599e+00
4,10,40,1.541172e+00
4,10,50,1.439106e+00
4,10,60,1.335068e+00
4,10,70,1.243078e+00
4,10,80,1.148171e+00
4,10,90,1.064794e+00
4,10,100,9.910216e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,4.635010e+01
4,10,5,2.428128e+01
4,10,10,8.357667e+00
4,10,20,2.390786e+00
4,10,30,1.693599e+00
4,10,40,1.541172e+00
4,10,50,1.439106e+00
4,10,60,1.335068e+00
4,10,70,1.243078e+00
4,10,80,1.148171e+00
4,10,90,1.064794e+00
4,10,100,9.910216e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,4.635010e+01
4,10,5,2.428128e+01
4,10,10,8.357667e+00
4,10,20,2.390786e+00
4,10,30,1.693599e+00
4,10,40,1.541172e+00
4,10,50,1.439106e+00
4,10,60,1.335068e+00
4,10,70,1.243078e+00
4,10,80,1.148171e+00
4,10,90,1.064794e+00
4,10,100,9.910216e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,4.635010e+01
4,10,5,2.428128e+01
4,10,10,8.357667e+00
4,10,20,2.390786e+00
4,10,30,1.693599e+00
4,10,40,1.541172e+00
4,10,50,1.439106e+00
4,10,60,1.335068e+00
4,10,70,1.243078e+00
4,10,80,1.148171e+00
4,10,90,1.064794e+00
4,10,100,9.910216e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
4,10,1,1.684795e+02
4,10,2,1.684795e+02
4,10,3,6.616086e+01
4,10,5,5.586374e+01
4,10,10,1.424390e+01
4,10,20,4.568407e+00
4,10,30,1.969329e+00
4,10,40,1.734203e+00
4,10,50,1.686835e+00
4,10,60,1.568443e+00
4,10,70,1.478798e+00
4,10,80,4.464454e-01
4,10,90,3.119554e-01
4,10,100,3.089205e-01
