funcid,dim,milestone,error
29,30,2,2.859952e+03
29,30,3,2.806732e+03
29,30,5,2.738433e+03
29,30,10,2.726326e+03
29,30,20,2.684593e+03
29,30,30,2.449012e+03
29,30,40,1.805710e+03
29,30,50,1.359526e+03
29,30,60,1.346553e+03
29,30,70,1.271467e+03
29,30,80,1.257679e+03
29,30,90,1.102104e+03
29,30,100,1.047024e+03
29,30,1,2.974347e+03
29,30,2,2.859952e+03
29,30,3,2.806732e+03
29,30,5,2.738433e+03
29,30,10,2.726326e+03
29,30,20,2.684593e+03
29,30,30,2.449012e+03
29,30,40,1.805710e+03
29,30,50,1.359526e+03
29,30,60,1.346553e+03
29,30,70,1.271467e+03
29,30,80,1.257679e+03
29,30,90,1.102104e+03
29,30,100,1.047024e+03
29,30,1,2.974347e+03
29,30,2,2.859952e+03
29,30,3,2.806732e+03
29,30,5,2.738433e+03
29,30,10,2.726326e+03
29,30,20,2.684593e+03
29,30,30,2.449012e+03
29,30,40,1.805710e+03
29,30,50,1.359526e+03
29,30,60,1.346553e+03
29,30,70,1.271467e+03
29,30,80,1.257679e+03
29,30,90,1.102104e+03
29,30,100,1.047024e+03
29,30,1,2.974347e+03
29,30,2,2.859952e+03
29,30,3,2.806732e+03
29,30,5,2.738433e+03
29,30,10,2.726326e+03
29,30,20,2.684593e+03
29,30,30,2.449012e+03
29,30,40,1.805710e+03
29,30,50,1.359526e+03
29,30,60,1.346553e+03
29,30,70,1.271467e+03
29,30,80,1.257679e+03
29,30,90,1.102104e+03
29,30,100,1.047024e+03
29,30,1,2.974347e+03
29,30,2,2.859952e+03
29,30,3,2.806732e+03
29,30,5,2.738433e+03
29,30,10,2.726326e+03
29,30,20,2.684593e+03
29,30,30,2.449012e+03
29,30,40,1.805710e+03
29,30,50,1.359526e+03
29,30,60,1.346553e+03
29,30,70,1.271467e+03
29,30,80,1.257679e+03
29,30,90,1.102104e+03
29,30,100,1.047024e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
29,30,1,2.974347e+03
29,30,2,2.881965e+03
29,30,3,2.799391e+03
29,30,5,2.689968e+03
29,30,10,2.658583e+03
29,30,20,2.647815e+03
29,30,30,2.629534e+03
29,30,40,1.588619e+03
29,30,50,1.543525e+03
29,30,60,1.302453e+03
29,30,70,1.258832e+03
29,30,80,1.249791e+03
29,30,90,1.243418e+03
29,30,100,1.241903e+03
