funcid,dim,milestone,error
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
8,10,1,7.322454e+01
8,10,2,7.322454e+01
8,10,3,5.395314e+01
8,10,5,5.196142e+01
8,10,10,4.061108e+01
8,10,20,3.980163e+01
8,10,30,3.979838e+01
8,10,40,3.979826e+01
8,10,50,3.979826e+01
8,10,60,3.979826e+01
8,10,70,3.979826e+01
8,10,80,3.979826e+01
8,10,90,2.912910e+01
8,10,100,1.306294e+01
